product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
4520766ec412348b8d4caa5e8a18c464,automotivo,59.0,956.0,1.0,50.0,16.0,16.0,17.0
d88d2f4938825da4771d7972d76c5da7,esporte_lazer,43.0,318.0,1.0,30000.0,25.0,96.0,79.0
5ac9d9e379c606e36a8094a6046f75dc,beleza_saude,46.0,2345.0,6.0,525.0,21.0,16.0,13.0
b23cca4f37391d03408aed65983bdc40,brinquedos,18.0,298.0,1.0,3865.0,40.0,35.0,35.0
9d2ff462feaaf88912539b8647e17ab4,informatica_acessorios,42.0,315.0,1.0,813.0,32.0,16.0,16.0
72d3bf1d3a790f8874096fcf860e3eff,brinquedos,57.0,341.0,2.0,583.0,20.0,21.0,20.0
64d0feb1bcf9c7fe7b5dad3271c10910,moveis_decoracao,58.0,696.0,7.0,750.0,25.0,15.0,35.0
08574b074924071f4e201e151b152b4e,ferramentas_jardim,36.0,450.0,1.0,9000.0,42.0,12.0,39.0
30469bb5ea377eae7121981e2f0778e4,esporte_lazer,57.0,574.0,4.0,5950.0,20.0,30.0,80.0
9b37a918bcf2c8e1064e867cf1df4637,eletronicos,57.0,1710.0,6.0,1207.0,20.0,10.0,20.0
65266b2da20d04dbe00c5c2d3bb7859e,papelaria,38.0,316.0,4.0,250.0,51.0,15.0,15.0
00baba5b58e274d0332a0c8a0a66f877,perfumaria,27.0,406.0,4.0,200.0,18.0,7.0,12.0
8988d11aace15e3c9e25763c6d87dcf5,fashion_roupa_masculina,23.0,183.0,1.0,200.0,19.0,27.0,27.0
aa4383b373c6aca5d8797843e5594415,automotivo,46.0,232.0,1.0,420.0,24.0,19.0,21.0
f497ba62f1d6b4f6a3a3266fa8623ad3,beleza_saude,45.0,1276.0,1.0,83.0,13.0,8.0,12.0
a5a0e71a81ae65aa335e71c06261e260,utilidades_domesticas,57.0,698.0,3.0,705.0,34.0,22.0,28.0
c0db539123a403f670c50237d970b215,ferramentas_jardim,56.0,1313.0,2.0,850.0,20.0,20.0,20.0
aca2eb7d00ea1a7b8ebd4e68314663af,moveis_decoracao,44.0,903.0,6.0,2600.0,50.0,10.0,30.0
c6c1f263e076bd9c1f1640250a5d0c29,perfumaria,32.0,102.0,1.0,425.0,24.0,12.0,16.0
6b64362e89896be7589621df54be089e,moveis_decoracao,57.0,2435.0,2.0,3000.0,69.0,11.0,11.0
baeb8e1a680cf9e1f13557d74b6cec3d,ferramentas_jardim,20.0,2751.0,3.0,2400.0,31.0,28.0,15.0
f7e0fa615b386bc9a8b9eb52bc1fff76,informatica_acessorios,59.0,2574.0,1.0,325.0,21.0,21.0,21.0
7a10781637204d8d10485c71a6108a2e,relogios_presentes,42.0,236.0,1.0,342.0,18.0,13.0,15.0
9451e630d725c4bb7a5a206b48b99486,bebes,52.0,300.0,1.0,350.0,31.0,10.0,12.0
6c4d1dce076249f2314ac8f3fc3cc7d1,esporte_lazer,56.0,2361.0,9.0,350.0,16.0,2.0,20.0
ba4bfbf74dbe7ab37e263b9326da0523,esporte_lazer,60.0,521.0,1.0,650.0,24.0,10.0,20.0
90b58782fdd04cb829667fcc41fb65f5,moveis_escritorio,34.0,794.0,1.0,7417.0,102.0,46.0,11.0
827c4a77226a3e7ef259d61eaa775df9,moveis_decoracao,54.0,439.0,2.0,1300.0,30.0,25.0,25.0
79da264732f717f10ebf5d102aa6c32a,telefonia,59.0,675.0,5.0,150.0,17.0,8.0,14.0
f9a7825fa51f487b8a48f67e9efced8c,esporte_lazer,60.0,465.0,2.0,2600.0,30.0,10.0,30.0
c827fb43ad0fb8708f34c2911fdc164b,esporte_lazer,53.0,699.0,1.0,10600.0,26.0,30.0,26.0
ba74c6b75d2ad7503175809688d5a03c,relogios_presentes,59.0,1088.0,2.0,292.0,17.0,8.0,12.0
c1234c80dafde7ef3311b3eabd5069ed,cama_mesa_banho,55.0,122.0,1.0,300.0,20.0,2.0,15.0
5e2ba75ad255ff60b1c76c5bf526ae9b,beleza_saude,47.0,1346.0,2.0,500.0,20.0,8.0,20.0
ad1128daf194f4b6ac4256e16233497c,telefonia,32.0,580.0,2.0,100.0,16.0,3.0,11.0
163e6400e6dadd0fe04775c5e9331fda,bebes,29.0,462.0,1.0,500.0,47.0,10.0,36.0
009c09f439988bc06a93d6b8186dce73,perfumaria,39.0,991.0,3.0,150.0,20.0,20.0,20.0
7b717060aa783eb7f23a747a3a733dd7,cool_stuff,46.0,595.0,2.0,500.0,16.0,12.0,22.0
9ecadb84c81da840dbf3564378b586e9,moveis_decoracao,41.0,789.0,1.0,950.0,20.0,35.0,20.0
060cb19345d90064d1015407193c233d,automotivo,49.0,608.0,1.0,7150.0,65.0,10.0,65.0
7f457254a89d62960399e075711b3deb,automotivo,60.0,558.0,6.0,300.0,17.0,4.0,12.0
72a97c271b2e429974398f46b93ae530,perfumaria,59.0,685.0,1.0,450.0,16.0,17.0,16.0
a47295965bd091207681b541b26e40a5,telefonia,60.0,818.0,6.0,300.0,17.0,4.0,12.0
bb7181410b4e02f93f3697f765db53c7,bebes,36.0,1058.0,1.0,14950.0,77.0,20.0,53.0
ad673c1cd02b966e931f9db4fdc34791,informatica_acessorios,39.0,1321.0,3.0,350.0,22.0,11.0,17.0
ee0c1cf2fbeae95205b4aa506f1469f0,perfumaria,44.0,334.0,1.0,200.0,16.0,16.0,13.0
5016388edcd982069aa2d39a8a878da7,esporte_lazer,33.0,201.0,1.0,22800.0,65.0,50.0,42.0
ea6d336eee5645b36bd18f202f90c58d,automotivo,38.0,361.0,1.0,50.0,35.0,4.0,26.0
595fac2a385ac33a80bd5114aec74eb8,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0
22f5b63060a1185e5ec7721efd622321,cama_mesa_banho,32.0,606.0,2.0,400.0,90.0,6.0,12.0
bff2010b28e8fbcff5a9db9d3fea5ac4,ferramentas_jardim,58.0,769.0,6.0,850.0,90.0,20.0,20.0
c35498fbb4358837ae16850f50c3fd22,telefonia,59.0,973.0,1.0,325.0,19.0,8.0,22.0
0cf41187284d7f099adc8415a743ebbd,bebes,60.0,644.0,1.0,300.0,16.0,16.0,16.0
4ce99ff9dcb7821acd8e599d5d4a6531,esporte_lazer,51.0,192.0,2.0,450.0,35.0,10.0,11.0
b3be1f83cef05668c25e134852d44545,cama_mesa_banho,52.0,413.0,1.0,1750.0,42.0,11.0,36.0
d062241f27854330b57851b64d08d472,moveis_decoracao,53.0,479.0,4.0,500.0,20.0,20.0,20.0
c3ba4e8d3cb30049213b682e751e9d00,relogios_presentes,58.0,737.0,3.0,350.0,16.0,2.0,20.0
a1804276d9941ac0733cfd409f5206eb,,,,,600.0,35.0,35.0,15.0
7e857e35018e4a05b7d124d1628dc1f0,esporte_lazer,14.0,1346.0,1.0,329.0,20.0,16.0,18.0
cafd558df4c3c9d1c338ba6930ea9a62,bebes,45.0,1009.0,1.0,16450.0,44.0,70.0,32.0
62bf07cdb14270c48cf42ca0312986aa,esporte_lazer,35.0,1761.0,1.0,8100.0,30.0,80.0,30.0
97f1396a5a1f7c07ba51784efdec44b8,utilidades_domesticas,60.0,1632.0,8.0,1400.0,43.0,18.0,18.0
d457916b4fdc60154ed93b5dd3e6fd69,construcao_ferramentas_construcao,57.0,424.0,1.0,10000.0,30.0,20.0,30.0
638bbb2a5e4f360b71f332ddfebfd672,construcao_ferramentas_construcao,38.0,143.0,2.0,20850.0,100.0,25.0,50.0
75d6b6963340c6063f7f4cfcccfe6a30,perfumaria,51.0,999.0,2.0,400.0,18.0,11.0,20.0
73a6530caef9511c04711d12dcef551c,moveis_escritorio,35.0,292.0,1.0,5000.0,60.0,45.0,45.0
a659cb33082b851fb87a33af8f0fff29,automotivo,60.0,380.0,1.0,150.0,16.0,6.0,11.0
a1692a17fad005e22bf5a54353439420,esporte_lazer,60.0,1341.0,6.0,3600.0,20.0,15.0,42.0
e932008cf0ea7c93a077dd8d7e5f49eb,climatizacao,60.0,3270.0,4.0,7350.0,105.0,10.0,40.0
89321f94e35fc6d7903d36f74e351d40,alimentos,59.0,982.0,1.0,150.0,17.0,13.0,13.0
0cd9f302c8a5b076ffa5c3567c6705fd,informatica_acessorios,22.0,716.0,2.0,200.0,36.0,2.0,28.0
c50ca07e9e4db9ea5011f06802c0aea0,beleza_saude,59.0,1782.0,1.0,125.0,25.0,14.0,18.0
e99d69efe684efaa643f99805f7c81bc,papelaria,56.0,115.0,1.0,600.0,33.0,13.0,25.0
be021417a6acb56b9b50d3fd2714baa8,utilidades_domesticas,48.0,664.0,6.0,14300.0,38.0,34.0,34.0
cce679660c66e6fbd5c8091dfd29e9cd,cama_mesa_banho,43.0,125.0,1.0,250.0,40.0,4.0,30.0
bffdb7d6bdb994823039ac983d6d30ec,pet_shop,31.0,621.0,1.0,144.0,18.0,12.0,16.0
3dd6c9d499e7c311a29e08afe1fd8fc6,cool_stuff,60.0,396.0,4.0,250.0,19.0,12.0,12.0
6026308f343d15d492324e7e35ba5685,relogios_presentes,60.0,320.0,3.0,542.0,20.0,15.0,17.0
1522589c64efd46731d3522568e5bc83,artigos_de_natal,35.0,415.0,4.0,550.0,37.0,10.0,37.0
9a469eaf45dfbc43d39ba1977a3c07af,cama_mesa_banho,44.0,192.0,1.0,700.0,40.0,4.0,30.0
cac9e5692471a0700418aa3400b9b2b1,bebes,57.0,2440.0,1.0,375.0,29.0,14.0,20.0
5526b1ae9ab2688cf600783cece249df,informatica_acessorios,49.0,385.0,1.0,200.0,16.0,16.0,16.0
9a78fb9862b10749a117f7fc3c31f051,moveis_escritorio,45.0,527.0,1.0,9750.0,42.0,41.0,42.0
1deda1acffb44ed38494667d7e49a9f3,esporte_lazer,53.0,891.0,2.0,1150.0,27.0,12.0,17.0
10adb53d8faa890ca7c2f0cbcb68d777,cama_mesa_banho,52.0,155.0,1.0,200.0,16.0,10.0,16.0
d0b61bfb1de832b15ba9d266ca96e5b0,pet_shop,59.0,468.0,3.0,450.0,30.0,10.0,20.0
8c591ab0ca519558779df02023177f44,ferramentas_jardim,47.0,1893.0,1.0,6050.0,20.0,20.0,20.0
cd935d283d47f1050c505e1c39c48b67,esporte_lazer,32.0,658.0,5.0,281.0,30.0,14.0,25.0
a01d1cbb398e386a4a8f8364401a7584,esporte_lazer,58.0,757.0,2.0,500.0,50.0,5.0,30.0
12087840651e83b48206b82c213b76fd,esporte_lazer,27.0,521.0,1.0,1813.0,30.0,13.0,28.0
f48eb5c2fde13ca63664f0bb05f55346,esporte_lazer,60.0,1153.0,2.0,100.0,20.0,11.0,11.0
69d980b4120a76616d7b237d731d6156,relogios_presentes,60.0,1362.0,3.0,600.0,16.0,11.0,12.0
e3db46616e0d26551a86377bab9b0308,perfumaria,42.0,453.0,2.0,523.0,20.0,16.0,17.0
61d52f4882421048afd530db53d6f230,perfumaria,59.0,149.0,1.0,500.0,36.0,18.0,27.0
39a9942865c056ed2006a5e8c11d9537,brinquedos,47.0,556.0,5.0,800.0,37.0,14.0,37.0
f35927953ed82e19d06ad3aac2f06353,livros_interesse_geral,39.0,724.0,1.0,450.0,20.0,20.0,20.0
a0b7d5a992ccda646f2d34e418fff5a0,moveis_decoracao,45.0,67.0,2.0,12300.0,40.0,40.0,40.0
