order_id,payment_sequential,payment_type,payment_installments,payment_value
4d630f57194f5aba1a3d12ce23e71cd9,1,credit_card,2,240.23
a39d3db795a5cf4c8b6c9dd050f0d326,1,credit_card,4,146.01
23f553848a03aaab35bb3f9f87725125,1,credit_card,2,117.77
c5e1ff5a434a0e128ac186bd92c1060d,1,credit_card,4,174.99
00b1cb0320190ca0daa2c88b35206009,1,not_defined,1,0.0
f373335aac9a659de916f7170b8bc07a,1,credit_card,3,59.18
a910f58086d58b3ae6f37aa712d377b9,1,credit_card,5,145.66
e4de6d53ecff736bc68804b0b6e9f635,1,boleto,1,231.12
f0df036e9be21fc238f131bbfcdde769,1,credit_card,5,59.74
40c5e18f7d112b59b3e5113a59a905b3,1,credit_card,3,128.68
e346cd9299371b18c0b28e8e29a5e376,1,credit_card,3,42.59
1790eea0b567cf50911c057cf20f90f9,1,credit_card,4,224.9
8447ff843b2616c50c0ced28ab1dae03,1,boleto,1,238.69
e3447938231fb6ba2fee0231b51eca59,1,credit_card,2,172.14
10918fe4d665fda80034712895c2b92f,1,credit_card,1,76.18
8f06cc6465925031568537b815f1198d,1,credit_card,9,317.34
432aaf21d85167c2c86ec9448c4e42cc,1,credit_card,1,54.36
91b2a010e1e45e6ba3d133fa997597be,1,credit_card,8,192.68
8d4c637f1accf7a88a4555f02741e606,1,voucher,1,66.44
34513ce0c4fab462a55830c0989c7edb,1,credit_card,1,114.13
0966b61e30c4a07edbd7523f59b3f3e4,1,credit_card,5,274.11
375f80ffc05feb35ce2680f1fa490575,1,credit_card,2,111.02
1950d777989f6a877539f53795b4c3c3,1,credit_card,2,44.09
6b860b35691d486e45dc98e3514ec5f6,1,boleto,1,574.36
0a4a2fccb27bd83a892fa503987a595b,1,credit_card,5,63.34
df8282afe61008dc26c6c31011474d02,1,boleto,1,139.96
d17dc4a904426827ca80f2ccb3a6be56,1,credit_card,1,54.82
f169bd689fb8b32ccd62df9050aebc0b,1,credit_card,8,772.08
203096f03d82e0dffbc41ebc2e2bcfb7,1,boleto,1,118.86
60550084e6b4c0cb89a87df1f3e5ebd9,1,boleto,1,66.79
86f21bf63784876b9fd6d35f46581d72,1,credit_card,4,120.84
634e8f4c0f6744a626f77f39770ac6aa,1,credit_card,1,7.08
36530871a5e80138db53bcfd8a104d90,1,credit_card,6,63.79
5ff96c15d0b717ac6ad1f3d77225a350,1,credit_card,3,32.7
136cce7faa42fdb2cefd53fdc79a6098,1,credit_card,1,65.95
6a0a8bfbbe700284feb0845d95e0867f,1,credit_card,5,101.74
03310aa823a66056268a3bab36e827fb,1,voucher,1,3184.34
ad21c59c0840e6cb83a9ceb5573f8159,1,credit_card,1,28.62
f848643eec1d69395095eb3840d2051e,1,credit_card,4,88.9
9defaf92cff22420e4e8ef7784815a55,1,credit_card,6,62.69
20e0101b20700188cadb288126949685,1,credit_card,5,105.56
41bb5cee06dbf170878a9ef93ac7e7f5,1,credit_card,2,23.69
974c1993ab8024d3ed16229183c2308d,1,boleto,1,84.56
77e9941864fc840be8e4b1ba5347c0f7,1,credit_card,1,103.27
bd4bd0194d6d29f83b8557d4b89b572a,1,boleto,1,37.83
acce194856392f074dbf9dada14d8d82,1,credit_card,10,227.68
2ce1ad82022c1ba30c2079502ac725aa,1,boleto,1,130.56
e481f51cbdc54678b7cc49136f2d6af7,2,voucher,1,18.59
85ce859fd6dc634de8d2f1e290444043,1,credit_card,1,29.75
83018ec114eee8641c97e08f7b4e926f,1,credit_card,1,5.96
0760a852e4e9d89eb77bf631eaaf1c84,1,boleto,1,50.35
ec341c54a5ebf8ee0a67a8632aa7579b,1,credit_card,2,29.92
98fe01bc254b759c1f2c11d77c2891d5,2,voucher,1,49.06
5820a1100976432c7968a52da59e9364,1,credit_card,1,52.24
a685d016c8a26f71a0bb67821070e398,1,boleto,1,99.26
0e782c3705510e717d28907746cbda82,1,credit_card,1,37.38
82bce245b1c9148f8d19a55b9ff70644,1,boleto,1,267.8
6ebaec694d7025e2ad4a05dba887c032,1,credit_card,7,153.72
dd78f560c270f1909639c11b925620ea,1,credit_card,2,60.69
116f0b09343b49556bbad5f35bee0cdf,1,credit_card,4,43.09
66e4624ae69e7dc89bd50222b59f581f,1,credit_card,9,91.68
7a9d4c7f9b068337875b95465330f2fc,1,credit_card,2,72.9
6ea2f835b4556291ffdc53fa0b3b95e8,1,credit_card,10,356.12
82566a660a982b15fb86e904c8d32918,1,boleto,1,50.13
15bed8e2fec7fdbadb186b57c46c92f2,1,credit_card,2,138.28
f346ad4ee8f630e5e4ddaf862a34e6dd,1,credit_card,1,53.66
b52cc4919de82b4d696a4380d10804a3,1,boleto,1,55.02
6d25592267349b322799e2beb687871e,1,boleto,1,201.82
25f4376934e13d3508486352e11a5db0,1,credit_card,5,82.33
d887b52c6516beb39e8cd44a5f8b60f7,1,credit_card,1,100.25
47aa4816b27ba60ec948cd019cc1afc1,1,boleto,1,71.91
