seller_id,seller_zip_code_prefix,seller_city,seller_state
c4af86330efa7a2620772227d2d670c9,8840,mogi das cruzes,SP
001cca7ae9ae17fb1caed9dfb1094831,29156,cariacica,ES
d91fb3b7d041e83b64a00a3edfb37e4f,11704,praia grande,SP
e70053bf73d1b5863932e53a9fa47496,5059,sao paulo,SP
7c67e1448b00f6e969d365cea6b010ab,8577,itaquaquecetuba,SP
980640c45d7a4635885491d077167e4d,13501,rio claro,SP
d2374cbcbb3ca4ab1086534108cc3ab7,14940,ibitinga,SP
37ceb404da208418c9032f0674e57804,4615,sao paulo,SP
0bae85eb84b9fb3bd773911e89288d54,88301,itajai,SP
6860153b69cc696d5dcfe1cdaaafcf62,13360,capivari,SP
76d5af76d0271110f9af36c92573f765,3194,sao paulo,SP
cc419e0650a3c5ba77189a1882b7556a,9015,santo andre,SP
977f9f63dd360c2a32ece2f93ad6d306,14910,tabatinga,SP
93dc87703c046b603023e75222018b45,30315,belo horizonte,MG
2c9e548be18521d1c43cde1c582c6de8,8752,mogi das cruzes,SP
4e42581f08e8cfc7c090f930bac4552a,13660,portoferreira,SP
855668e0971d4dfd7bef1b6a4133b41b,13257,itatiba,SP
77530e9772f57a62c906e1c21538ab82,80310,curitiba,PR
f7720c4fa8e3aba4546301ab80ea1f1b,81350,curitiba,PR
ac6417315ae5da8f9a38ee11de6f7780,7400,aruja,SP
8581055ce74af1daba164fdbd55a40de,7112,guarulhos,SP
c8417879a15366a17c30af34c798c332,4445,sao paulo,SP
16090f2ca825584b5a147ab24aa30c86,12940,atibaia,SP
a36ac007a4d18f865c8d32c3b2402c2d,6455,barueri,SP
4c8b8048e33af2bf94f2eb547746a916,14940,ibitinga,SP
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR
562fc2f2c2863ab7e79a9e4388a58a14,13070,campinas,SP
85d9eb9ddc5d00ca9336a2219c97bb13,31255,belo horizonte,MG
a673821011d0cec28146ea42f5ab767f,3809,sao paulo,SP
dc4a0fc896dc34b0d5bfec8438291c80,14940,ibitinga,SP
a6fe7de3d16f6149ffe280349a8535a0,14401,franca,SP
f5f46307a4d15880ca14fab4ad9dfc9b,89165,rio do sul,SC
fcdd820084f17e9982427971e4e9d47f,14075,ribeirao preto,SP
36890be00bbfc1cdb9a4a38a6af05a69,6040,osasco,SP
f27e33c6d29b5138fa9967bcd445b6d5,4273,sao paulo,SP
c0563dd588b775f2e37747ef6ad6c92c,9220,santo andre,SP
3fd1e727ba94cfe122d165e176ce7967,14802,araraquara,SP
9646c3513289980f17226a2fc4720dbd,12215,sao jose dos campos,SP
633ecdf879b94b5337cca303328e4a25,4438,sao paulo,SP
bbad7e518d7af88a0897397ffdca1979,1512,sao paulo,SP
e21a1e8be4715b0fcfd5385643bc49c4,88715,jaguaruna,SC
80e6699fe29150b372a0c8a1ebf7dcc8,83323,pinhais,PR
5656537e588803a555b8eb41f07a944b,72015,brasilia,DF
2a61c271b1ac763450d846849783e922,9175,santo andre,SP
5dceca129747e92ff8ef7a997dc4f8ca,13450,santa barbara d´oeste,SP
fc99f99385ae90f66f01733856fb88c9,18550,boituva,SP
dc8798cbf453b7e0f98745e396cc5616,5455,sao paulo,SP
4a3ca9315b744ce9f8e9374361493884,14940,ibitinga,SP
b33e7c55446eabf8fe1a42d037ac7d6d,14850,pradopolis,SP
3b15288545f8928d3e65a8f949a28291,14940,ibitinga,SP
2f09f7d37a97956d11cc1a7cadd5262b,14090,ribeirao preto,SP
4869f7a5dfa277a7dca6462dcf3b52b2,14840,guariba,SP
094ced053e257ae8cae57205592d6712,14095,ribeirao preto,SP
a5cba26a62b8b4d0145b68b841e62e7f,87303,campo mourao,PR
1025f0e2d44d7041d6cf58b6550e0bfa,3204,sao paulo,SP
891071be6ba827b591264c90c2ae8a63,3872,sao paulo,SP
fa74b2f3287d296e9fbd2cc80f2d1cf1,19023,presidente prudente,SP
a1043bafd471dff536d0c462352beb48,37175,ilicinea,MG
f8db351d8c4c4c22c6835c19a46f01b0,13324,salto,SP
1ca7077d890b907f89be8c954a02686a,6506,santana de parnaiba,SP
89a51f50b8095ea78d5768f34c13a76f,71931,brasilia,DF
d566c37fa119d5e66c4e9052e83ee4ea,4131,sao paulo,SP
70a12e78e608ac31179aea7f8422044b,12327,jacarei,SP
70eea00b476a314817cefde4aad4f89a,13250,itatiba,SP
66922902710d126a0e7d26b0e3805106,31842,belo horizonte,MG
1900267e848ceeba8fa32d80c1a5f5a8,14940,ibitinga,SP
63b9ae557efed31d1f7687917d248a8d,13720,sao jose do rio pardo,SP
